RD,TDLinx,Store Name - Nielsen,Store Type,Street Name,Barangay,Municipality,Province,Region,Longitude,Latitude,Accuracy,Average Daily Sales: Sari Sari Store,Located? (Yes/No),cluster_label
Extreme Reach,7K012482,No Trade Name,Sari Sari Store,Santan street,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1407167,6.0824,1.7,"501 - 2,000",No,2
Extreme Reach,7K012480,ROSE STORE,Sari Sari Store,Gumamela street,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.14037,6.082275,1.7,"501 - 2,000",No,2
Extreme Reach,7K012319,CAPARIDA STORE,Sari Sari Store,Cahilsot village,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1412283,6.083756667,1.5,"501 - 2,000",No,2
Extreme Reach,7K012326,No Trade Name,Sari Sari Store,Oblipas village,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1402633,6.083923333,1.4,101 - 500,No,2
Extreme Reach,7K012330,No Trade Name,Sari Sari Store,Oblipas village,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1408783,6.082755,1.4,"501 - 2,000",No,2
Extreme Reach,7K012351,MARWIN STORE,Sari Sari Store,Camia st. Cahilsot village,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1403733,6.080741667,1.6,"501 - 2,000",No,2
Extreme Reach,7K012370,ROSETE.STORE,Sari Sari Store,"Purok Bayanihan, Zone 2","Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.15444,6.068593333,1.5,"501 - 2,000",No,195
Extreme Reach,7K012345,KAT STORE,Sari Sari Store,Rosal st. Cahilsot village,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.139585,6.081025,1.9,"501 - 2,000",No,2
Extreme Reach,7K012486,BACHINELA STORE,Sari Sari Store,Rosal extension,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1392333,6.081506667,1.4,101 - 500,No,2
Extreme Reach,7K012349,APRILYN STORE,Sari Sari Store,San francisco. Cahilsot village,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.14011,6.081538333,1.4,"501 - 2,000",No,2
Extreme Reach,7K012317,TUYOR STORE,Sari Sari Store,Cahilsot village kanto jurrassic,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1415633,6.082208333,1.7,"501 - 2,000",No,2
Extreme Reach,7K012320,No Trade Name,Sari Sari Store,Oblipas village,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1411583,6.0838,1.5,101 - 500,No,2
Extreme Reach,7K012366,No Trade Name,Sari Sari Store,"Purok Bayanihan, Zone.2","Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1538083,6.068488333,1.6,101 - 500,No,195
Extreme Reach,7K012328,REBLINGCA STORE,Sari Sari Store,JP Laurel street. Oblipas village,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1407267,6.083835,1.5,"3,501 And Up",No,2
Extreme Reach,7K012354,No Trade Name,Sari Sari Store,Orchid st. Cahilsot village,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1411333,6.08067,1.7,101 - 500,No,2
Extreme Reach,7K012333,No Trade Name,Sari Sari Store,Gumamela st. Cahilsot village,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.140325,6.082428333,1.3,101 - 500,No,2
Extreme Reach,7K012344,ELIZABETH STORE,Sari Sari Store,Rosal st. Cahilsot village,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.139295,6.081458333,1.7,"501 - 2,000",No,2
Extreme Reach,7K012355,No Trade Name,Sari Sari Store,"Purok Bayanihan, Zone.3","Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.15211,6.068796667,1.8,"501 - 2,000",No,195
Extreme Reach,7K012316,ELIZALDE STORE,Sari Sari Store,Cahilsot village,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1420567,6.081561667,1.7,"501 - 2,000",No,2
Extreme Reach,7K012352,ANTONIO STORE,Sari Sari Store,Santan st. Cahilsot village,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.14072,6.080746667,1.5,"501 - 2,000",No,2
Extreme Reach,7K012477,No Trade Name,Sari Sari Store,San Francisco street cahilsot village,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.139875,6.082821667,1.6,101 - 500,No,2
Extreme Reach,7K012346,No Trade Name,Sari Sari Store,Rosal st. Cahilsot village,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.13955,6.080455,1.5,101 - 500,No,2
Extreme Reach,7K012462,No Trade Name,Sari Sari Store,Cahilsot kanto jurassic,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1413433,6.082613333,1.4,"501 - 2,000",No,2
Extreme Reach,7K014202,3RRN VARIETY STORE,Sari Sari Store,Greenville,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1320283,6.08442,1.6,"2001 - 3,500",No,183
Extreme Reach,7K011111,No Trade Name,Sari Sari Store,purok maliwanag,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1429583,6.075458333,1.5,"2001 - 3,500",No,34
Extreme Reach,7K012459,No Trade Name,Sari Sari Store,Ilang ilang street,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1418383,6.080501667,1.6,"501 - 2,000",No,2
Extreme Reach,7K012369,No Trade Name,Sari Sari Store,"Purok Bayanihan, Zone 2","Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1543817,6.06854,1.3,"501 - 2,000",No,195
Extreme Reach,7K012331,SHANNA'S STORE,Sari Sari Store,RAGS st. Oblipas village,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1402967,6.082906667,1.6,"501 - 2,000",No,2
Extreme Reach,7K012348,5 ANGEL'S STORE,Sari Sari Store,Rosal st. Cahilsot village,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.139575,6.081466667,1.8,"3,501 And Up",No,2
