CustNo,RouteDate,Name,WD,SalesManTerritory,AgentID,RouteName,DistributorID,RouteCode,SalesOfficeID,StopNo
7K004040,2025-12-01,No Trade Name,1,MVP-NAO1,MVP-NAO1,Prospect Route MVP-NAO1 2025-12-01,11619,MVP-NAO1_W49_D1,,1
7K004047,2025-12-01,PRINCESS AND I STORE,1,MVP-NAO1,MVP-NAO1,Prospect Route MVP-NAO1 2025-12-01,11619,MVP-NAO1_W49_D1,,2
7K004043,2025-12-01,No Trade Name,1,MVP-NAO1,MVP-NAO1,Prospect Route MVP-NAO1 2025-12-01,11619,MVP-NAO1_W49_D1,,3
7K004051,2025-12-01,ALCANZADO STORE,1,MVP-NAO1,MVP-NAO1,Prospect Route MVP-NAO1 2025-12-01,11619,MVP-NAO1_W49_D1,,4
7K004088,2025-12-01,TADLE STORE,1,MVP-NAO1,MVP-NAO1,Prospect Route MVP-NAO1 2025-12-01,11619,MVP-NAO1_W49_D1,,5
7K004068,2025-12-01,C-5 Store,1,MVP-NAO1,MVP-NAO1,Prospect Route MVP-NAO1 2025-12-01,11619,MVP-NAO1_W49_D1,,6
7K005970,2025-12-01,No Trade Name,1,MVP-NAO1,MVP-NAO1,Prospect Route MVP-NAO1 2025-12-01,11619,MVP-NAO1_W49_D1,,7
7K004087,2025-12-01,REUGEN STORE,1,MVP-NAO1,MVP-NAO1,Prospect Route MVP-NAO1 2025-12-01,11619,MVP-NAO1_W49_D1,,8
7K005933,2025-12-01,No Trade Name,1,MVP-NAO1,MVP-NAO1,Prospect Route MVP-NAO1 2025-12-01,11619,MVP-NAO1_W49_D1,,9
7K005932,2025-12-01,No Trade Name,1,MVP-NAO1,MVP-NAO1,Prospect Route MVP-NAO1 2025-12-01,11619,MVP-NAO1_W49_D1,,10
7K002105,2025-12-01,No Trade Name,1,MVP-NAO1,MVP-NAO1,Prospect Route MVP-NAO1 2025-12-01,11619,MVP-NAO1_W49_D1,,11
