scenario,scenario_name,agent_id,route_date,total_customers,valid_coord_customers,invalid_coord_customers,coord_percentage,distributor_id
1,"Agent with >60 customers, ALL valid coords",SK-SAT4,2025-09-18,61,61,0,100.0,11814
1,"Agent with >60 customers, ALL valid coords",SK-SAT4,2025-09-04,61,61,0,100.0,11814
1,"Agent with >60 customers, ALL valid coords",SK-SAT5,2025-09-22,63,63,0,100.0,11814
1,"Agent with >60 customers, ALL valid coords",SK-SAT5,2025-09-18,62,62,0,100.0,11814
1,"Agent with >60 customers, ALL valid coords",SK-SAT5,2025-09-17,67,67,0,100.0,11814
1,"Agent with >60 customers, ALL valid coords",SK-SAT5,2025-09-08,63,63,0,100.0,11814
1,"Agent with >60 customers, ALL valid coords",SK-SAT5,2025-09-04,62,62,0,100.0,11814
1,"Agent with >60 customers, ALL valid coords",SK-SAT5,2025-09-03,67,67,0,100.0,11814
2,"Agent with >60 customers, MIXED valid/invalid coords",SK-SAT4,2025-09-25,61,49,12,80.3,11814
2,"Agent with >60 customers, MIXED valid/invalid coords",SK-SAT4,2025-09-11,61,49,12,80.3,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-PMS1,2025-09-27,30,30,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-PMS1,2025-09-23,31,31,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-PMS1,2025-09-20,30,30,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-PMS1,2025-09-16,31,31,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-PMS1,2025-09-13,30,30,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-PMS1,2025-09-09,31,31,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-PMS1,2025-09-06,30,30,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-PMS1,2025-09-02,31,31,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-29,60,60,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-27,60,60,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-26,60,60,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-25,59,59,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-24,60,60,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-23,60,60,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-22,57,57,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-20,60,60,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-19,60,60,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-18,60,60,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-17,59,59,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-16,51,51,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-15,60,60,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-13,60,60,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-12,60,60,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-11,59,59,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-10,60,60,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-09,60,60,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-08,57,57,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-06,60,60,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-05,60,60,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-04,60,60,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-03,59,59,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-02,51,51,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT2,2025-09-01,60,60,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT4,2025-09-29,60,60,0,100.0,11814
3,"Agent with 30-60 customers, ALL valid coords",SK-SAT4,2025-09-27,60,60,0,100.0,11814
