DistributorID,AgentID,CustNo,RouteDate,StopNo,Name,WD,SalesManTerritory,latitude,longitude,dayno,distancetonextstore
11814,SK-DP4,7K010857,2025-11-03,1,7K010857,1,SK-DP4,6.07029833,125.1429533,1,0.042
11814,SK-DP4,7K010668,2025-11-03,2,7K010668,1,SK-DP4,6.06996833,125.1427733,1,0.069
11814,SK-DP4,7K010670,2025-11-03,3,7K010670,1,SK-DP4,6.07042,125.1423483,1,0.015
11814,SK-DP4,7K010671,2025-11-03,4,7K010671,1,SK-DP4,6.07036167,125.1422267,1,0.044
11814,SK-DP4,7K010739,2025-11-03,5,7K010739,1,SK-DP4,6.07075,125.1421467,1,0.008
11814,SK-DP4,7K010022,2025-11-03,6,7K010022,1,SK-DP4,6.07082,125.142125,1,0.021
11814,SK-DP4,7K010018,2025-11-03,7,7K010018,1,SK-DP4,6.070845,125.142315,1,0.02
11814,SK-DP4,7K010028,2025-11-03,8,7K010028,1,SK-DP4,6.07083333,125.1424933,1,0.053
11814,SK-DP4,7K010077,2025-11-03,9,7K010077,1,SK-DP4,6.07101167,125.1429417,1,0.037
11814,SK-DP4,7K010003,2025-11-03,10,7K010003,1,SK-DP4,6.071345,125.1429,1,0.011
11814,SK-DP4,7K010017,2025-11-03,11,7K010017,1,SK-DP4,6.07140167,125.1429867,1,0.007
11814,SK-DP4,7K010005,2025-11-03,12,7K010005,1,SK-DP4,6.07146167,125.1429867,1,0.025
11814,SK-DP4,7K010016,2025-11-03,13,7K010016,1,SK-DP4,6.07169,125.1430067,1,0.018
11814,SK-DP4,7K010078,2025-11-03,14,7K010078,1,SK-DP4,6.07180667,125.1428933,1,0.031
11814,SK-DP4,7K010006,2025-11-03,15,7K010006,1,SK-DP4,6.07208333,125.1428667,1,0.078
11814,SK-DP4,7K010019,2025-11-03,16,7K010019,1,SK-DP4,6.071655,125.14231,1,0.022
11814,SK-DP4,7K010020,2025-11-03,17,7K010020,1,SK-DP4,6.07161833,125.1421117,1,0.021
11814,SK-DP4,7K010021,2025-11-03,18,7K010021,1,SK-DP4,6.071435,125.1421383,1,0.082
11814,SK-DP4,7K010672,2025-11-03,19,7K010672,1,SK-DP4,6.07085667,125.141685,1,0.066
11814,SK-DP4,7K010332,2025-11-03,20,7K010332,1,SK-DP4,6.07080333,125.141095,1,0.032
11814,SK-DP4,7K010333,2025-11-03,21,7K010333,1,SK-DP4,6.07082,125.1408067,1,0.039
