store,latitude,longitude,dayno,sequence,distancetonextstore
7K010857,6.07029833,125.1429533,1,1,0.042
7K010668,6.06996833,125.1427733,1,2,0.069
7K010670,6.07042,125.1423483,1,3,0.015
7K010671,6.07036167,125.1422267,1,4,0.044
7K010739,6.07075,125.1421467,1,5,0.008
7K010022,6.07082,125.142125,1,6,0.021
7K010018,6.070845,125.142315,1,7,0.02
7K010028,6.07083333,125.1424933,1,8,0.053
7K010077,6.07101167,125.1429417,1,9,0.037
7K010003,6.071345,125.1429,1,10,0.011
7K010017,6.07140167,125.1429867,1,11,0.007
7K010005,6.07146167,125.1429867,1,12,0.025
7K010016,6.07169,125.1430067,1,13,0.018
7K010078,6.07180667,125.1428933,1,14,0.031
7K010006,6.07208333,125.1428667,1,15,0.078
7K010019,6.071655,125.14231,1,16,0.022
7K010020,6.07161833,125.1421117,1,17,0.021
7K010021,6.071435,125.1421383,1,18,0.082
7K010672,6.07085667,125.141685,1,19,0.066
7K010332,6.07080333,125.141095,1,20,0.032
7K010333,6.07082,125.1408067,1,21,0.039
7K010337,6.07117167,125.1408417,1,22,0.02
7K010334,6.07124333,125.1406783,1,23,0.03
7K010350,6.07107167,125.1404683,1,24,0.01
7K010467,6.071005,125.1404083,1,25,0.03
7K010351,6.07074333,125.1403367,1,26,0.037
7K010469,6.07085667,125.1400233,1,27,0.011
7K010352,6.07095833,125.14004,1,28,0.04
7K010353,6.07132,125.140025,1,29,0.024
7K010354,6.071535,125.1400417,1,30,0.026
7K010345,6.07157667,125.1402767,1,31,0.016
7K010347,6.07143167,125.140305,1,32,0.022
7K010344,6.071565,125.14045,1,33,0.016
7K010346,6.071625,125.1405783,1,34,0.007
7K010372,6.07161,125.14064,1,35,0.013
7K010343,6.07159,125.140755,1,36,0.007
7K010338,6.07161833,125.1408133,1,37,0.021
7K010340,6.07163833,125.1410017,1,38,0.026
7K010113,6.07159167,125.14123,1,39,0.011
7K010027,6.071535,125.1413117,1,40,0.001
7K010025,6.07152833,125.1413233,1,41,0.039
7K010026,6.071875,125.1412483,1,42,0.075
7K010335,6.07123167,125.1410483,1,43,0.093
7K010638,6.07039167,125.1410483,1,44,0.021
7K010637,6.07040167,125.1408583,1,45,0.046
7K010641,6.07040333,125.1412717,1,46,0.049
7K010632,6.07002667,125.1410433,1,47,0.042
7K010642,6.06968,125.1408867,1,48,0.042
7K010696,6.06971,125.1412667,1,49,0.034
7K010650,6.069405,125.1412367,1,50,0.094
7K010375,6.06992667,125.140565,1,51,0.064
7K010371,6.07006167,125.140005,1,52,0.032
7K010634,6.070345,125.1399483,1,53,0.016
7K010640,6.07035667,125.1400917,1,54,0.158
7K010472,6.07177667,125.140035,1,55,0.022
7K010363,6.071965,125.1400967,1,56,0.009
7K010355,6.07197333,125.1401733,1,57,0.02
7K010362,6.0721,125.140045,1,58,0.015
7K010474,6.07222333,125.1400883,1,59,0.033
7K010360,6.07237667,125.14034,1,60,0.0
7K014205,6.08700833,125.13184,2,1,0.021
7K014113,6.08681833,125.1318683,2,2,0.044
7K013917,6.08679167,125.132265,2,3,0.043
7K013895,6.08711667,125.1324783,2,4,0.106
7K013869,6.08806333,125.1323867,2,5,0.066
7K013896,6.08838167,125.1318867,2,6,0.016
7K013870,6.08831833,125.1317567,2,7,0.01
7K013894,6.08825833,125.1316867,2,8,0.032
7K014114,6.08814667,125.13142,2,9,0.019
7K014119,6.08810333,125.1312517,2,10,0.036
